layer,head,msa_entropy,masri_entropy,msa_bos_attn,masri_bos_attn,entropy_diff,bos_attn_diff,prompt_id,category
0,0,0.7337132096290588,0.8039742112159729,0.29489046335220337,0.2733934223651886,0.07026100158691406,-0.02149704098701477,p01,pronoun
0,1,1.0703035593032837,1.007524847984314,0.42830225825309753,0.31368735432624817,-0.06277871131896973,-0.11461490392684937,p01,pronoun
0,2,0.4576322138309479,0.7170937061309814,0.32157158851623535,0.32484352588653564,0.25946149230003357,0.003271937370300293,p01,pronoun
0,3,0.9977818727493286,1.0843331813812256,0.37375375628471375,0.23908402025699615,0.08655130863189697,-0.1346697360277176,p01,pronoun
0,4,1.1526906490325928,1.2386723756790161,0.3041236400604248,0.3272426128387451,0.08598172664642334,0.023118972778320312,p01,pronoun
0,5,0.9666226506233215,1.0826935768127441,0.3177466094493866,0.22747138142585754,0.11607092618942261,-0.09027522802352905,p01,pronoun
0,6,0.7234060168266296,0.7972543239593506,0.2070343792438507,0.24071982502937317,0.07384830713272095,0.03368544578552246,p01,pronoun
0,7,0.20826281607151031,0.18078193068504333,0.22260527312755585,0.12706097960472107,-0.02748088538646698,-0.09554429352283478,p01,pronoun
0,8,0.8540990948677063,0.9523764252662659,0.22670899331569672,0.20535649359226227,0.09827733039855957,-0.021352499723434448,p01,pronoun
0,9,0.8291694521903992,0.8801836967468262,0.2901439666748047,0.2697102725505829,0.051014244556427,-0.020433694124221802,p01,pronoun
0,10,1.1265182495117188,1.1913210153579712,0.3910348117351532,0.32559409737586975,0.06480276584625244,-0.06544071435928345,p01,pronoun
0,11,0.4822543263435364,0.5996452569961548,0.29328054189682007,0.3460250198841095,0.11739093065261841,0.05274447798728943,p01,pronoun
1,0,1.0685378313064575,1.0559264421463013,0.2747670114040375,0.2812979221343994,-0.01261138916015625,0.0065309107303619385,p01,pronoun
1,1,0.3333626389503479,0.4264197051525116,0.2760583460330963,0.2839837074279785,0.0930570662021637,0.007925361394882202,p01,pronoun
1,2,0.2947133183479309,0.5125889778137207,0.21537134051322937,0.30898234248161316,0.2178756594657898,0.09361100196838379,p01,pronoun
1,3,1.08112633228302,0.9458177089691162,0.31880858540534973,0.33048853278160095,-0.1353086233139038,0.01167994737625122,p01,pronoun
1,4,0.33897414803504944,0.3118753731250763,0.17297376692295074,0.12791259586811066,-0.027098774909973145,-0.04506117105484009,p01,pronoun
1,5,0.7923694252967834,0.8308110237121582,0.37813934683799744,0.37173399329185486,0.038441598415374756,-0.006405353546142578,p01,pronoun
1,6,0.9961882829666138,0.8527677655220032,0.4183657765388489,0.1449902206659317,-0.1434205174446106,-0.2733755558729172,p01,pronoun
1,7,1.0096609592437744,1.04283607006073,0.31012198328971863,0.30915218591690063,0.033175110816955566,-0.0009697973728179932,p01,pronoun
1,8,0.5434044003486633,0.3998745381832123,0.22083544731140137,0.14420008659362793,-0.14352986216545105,-0.07663536071777344,p01,pronoun
1,9,0.8258529901504517,1.0507922172546387,0.30138346552848816,0.314662903547287,0.224939227104187,0.013279438018798828,p01,pronoun
1,10,0.8706170320510864,0.7977812886238098,0.34656158089637756,0.18555939197540283,-0.07283574342727661,-0.16100218892097473,p01,pronoun
1,11,0.6776972413063049,0.6309829950332642,0.22556164860725403,0.3468188941478729,-0.04671424627304077,0.1212572455406189,p01,pronoun
2,0,0.9788913130760193,0.906166136264801,0.25228777527809143,0.24828971922397614,-0.07272517681121826,-0.003998056054115295,p01,pronoun
2,1,0.7477671504020691,0.6770092248916626,0.23035632073879242,0.2500803768634796,-0.0707579255104065,0.019724056124687195,p01,pronoun
2,2,0.965106189250946,0.81355220079422,0.3360055088996887,0.3199661672115326,-0.15155398845672607,-0.016039341688156128,p01,pronoun
2,3,0.8246889114379883,0.764964759349823,0.298574298620224,0.29002442955970764,-0.05972415208816528,-0.008549869060516357,p01,pronoun
2,4,1.1261413097381592,1.1857041120529175,0.3474443256855011,0.32083356380462646,0.0595628023147583,-0.026610761880874634,p01,pronoun
2,5,0.5639315843582153,0.6486358046531677,0.32184940576553345,0.31322604417800903,0.08470422029495239,-0.008623361587524414,p01,pronoun
2,6,0.617435872554779,0.657386839389801,0.2859015166759491,0.2610366940498352,0.03995096683502197,-0.02486482262611389,p01,pronoun
2,7,0.9571577906608582,0.9081459045410156,0.25497686862945557,0.23097045719623566,-0.04901188611984253,-0.02400641143321991,p01,pronoun
2,8,0.6839748620986938,0.832621693611145,0.3626299202442169,0.27752113342285156,0.14864683151245117,-0.08510878682136536,p01,pronoun
2,9,0.5652204155921936,0.6272832155227661,0.2228781133890152,0.2998431921005249,0.06206279993057251,0.0769650787115097,p01,pronoun
2,10,0.9852816462516785,1.023076057434082,0.28327658772468567,0.2122420370578766,0.037794411182403564,-0.07103455066680908,p01,pronoun
2,11,0.7867814302444458,0.7572510242462158,0.3235907554626465,0.3462681174278259,-0.02953040599822998,0.022677361965179443,p01,pronoun
3,0,0.2431013286113739,0.15935492515563965,0.28952524065971375,0.2533344030380249,-0.08374640345573425,-0.03619083762168884,p01,pronoun
