precision,lang,layer_num,layer_label,top1_token,top1_prob,p_cairo_en,p_cairo_ar,p_egypt_en,p_egypt_ar,p_capital_en,p_city_ar,p_qmark_en,p_qmark_ar,p_dots,p_colon,p_what_en
FP16 Baseline,EN,25,L24,:,0.5282111167907715,0.0104434695094823,2.6608514003267917e-11,0.0002084410807583,2.898275152860008e-12,1.6081543208201765e-07,1.1981118354376095e-11,0.0036661566700786,3.266309531874123e-12,3.3670739867375232e-06,0.5282111167907715,0.0003457981802057
FP16 Baseline,EN,26,L25, Cairo,0.9639776945114136,0.9639776945114136,1.8530245697243042e-13,3.996145460405387e-05,1.0532248901143348e-13,1.6952238501843906e-09,3.2505516155264744e-14,0.0006953809643164,8.459147578848064e-16,1.260178805750911e-07,0.021422766149044,3.826829924946651e-06
FP16 Baseline,MSA,0,embed, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,MSA,1,L0, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,MSA,2,L1, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,MSA,3,L2, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,MSA,4,L3,<bos>,0.999772608280182,1.6111266542952723e-38,1.498891503509149e-37,9.667165741806902e-38,1.5631960811021205e-39,1.2611686178923354e-44,1.6850614033505923e-41,2.9936611716633936e-39,3.2419039972154643e-41,1.6395192032600362e-43,5.162946304035899e-38,3.9272972929967685e-39
FP16 Baseline,MSA,5,L4, هي,0.9998175501823424,1.4655561319633971e-27,1.4161211695578709e-27,2.141248334390745e-27,1.3522300205079665e-29,3.1999206199038537e-35,1.2408517426884586e-30,3.679273808186744e-31,3.6241237274763896e-32,7.456144022082091e-36,1.4505934618548311e-28,9.981798790030093e-29
FP16 Baseline,MSA,6,L5,<bos>,1.0,1.5310587021212951e-41,1.4424185868515038e-38,9.881956770418609e-42,6.801902745832662e-42,1.401298464324817e-45,7.006492321624085e-44,6.810310536618612e-43,0.0,0.0,1.4401284447712578e-40,4.039467031170577e-40
FP16 Baseline,MSA,7,L6, هي,0.9999852180480956,3.974395240370593e-21,1.1743603097604154e-18,8.94981634683673e-20,8.1054582060309815e-22,2.1520041875173252e-23,9.930867901402391e-21,3.1958528629818125e-23,5.145245857829992e-23,2.280513214597161e-26,2.2536944209434687e-19,5.300672109925425e-19
